Airlift Technologies,"Usman Gul, Ahmed Ayub, Meher Farrukh",Mixed-Gender Founding Team,Transportation/Mobility,Q3,2019,"Fatima Gobi Ventures, Indus Valley Capital ",Local Investor (VC),"First Round Capital, Village Global",Seed,"2,200,000",Not Associated,Active
AYECo,Faaiz Arbab ,Male,Other,Q3,2019,"Aamir Ibrahim, Naeem Zamindar",Local Investor (Angel),,Seed,"75,000",Associated,Active
Revolving Games,Ammar Zaeem,Male,Gaming,Q3,2019,Sarmayacar,Local Investor (VC),Sarmayacar,Seed,Undisclosed,Not Associated,Active
Knowledge Platform,Mahboob Mahmood ,Male,EdTech/Education,Q3,2019,Lakson Investments Venture Capital (LIVC),Local Investor (VC), Beaconhouse,Series A,"2,250,000",Not Associated,Active
Finja,"Monis Rahman, Qasif Shahid, Umer Munawar",Male,Fintech/Finance,Q4,2019,"BeeNext, Quona Capital ",International Investor (VC),Vostok Emerging Finance ,Series A,"3,000,000",Not Associated,Active
Tello Talk,"Arshad Ashraf, Shahbaz Jamote ",Male,Social Media,Q4,2019,"i2i Ventures, SparkLabs Ventures",Local Investor (VC),,Seed,Undisclosed,Associated,Active
Eat Mubarak ,"Syed Sair Ali, Mohammad Yusuf Jan",Male,E-commerce,Q4,2019,SOSV (An Accelerator VC),International Investor (VC),,Seed,Undisclosed ,Not Associated,Active
The Hive ,Owais Zaidi,Male,Housing/Construction/Coworking/Real State,Q4,2019,Undisclosed ,Undisclosed,Undisclosed,Undisclosed,"7,000,000",Not Associated,Active
Social Champ,"Zohaib Shakir, Sameer Ahmed Khan, and Shakir Ghani (COO, Co-founder)",Male,SAAS/Cloud Computing,Q4,2019,Wadi Accelerator Program,Accelerator(s)/Incubator(s),,Seed,"100,000",Associated,Active
Airlift Technologies,"Usman Gul, Ahmed Ayub, Meher Farrukh",Mixed-Gender Founding Team,Transportation/Mobility,Q4,2019,First Round Capital,Local Investor (VC),"Fatima Gobi Ventures, Indus Valley Capital",Series A,"12,000,000",Not Associated,Active
PriceOye,"Adeel Shaffi, Adnan Shaffi, Awais Imran",Male,E-commerce,Q4,2019,Fatima Ventures,Local Investor (VC),Artistic Ventures,Seed,"450,000",Not Associated,Active
Queno,"Muhammad Zubair, Farida Kanwal ",Mixed-Gender Founding Team,EdTech/Education,Q4,2019,Oman Tech Fund,International Investor (VC),,Seed,"100,000",Associated,Active
ConsoliAds ,Asad Mahmood,Male,MarTech/Marketing,Unknown,2019,47 Ventures,Local Investor (VC),,Pre-Seed,"1,000,000",Not Associated,Active
Dawaai,Furquan Kidwai,Male,HealthTech/Health,Unknown,2019,500startups,Accelerator(s)/Incubator(s),,Seed,Undisclosed,Not Associated,Active
Undisclosed Startup ,Undisclosed ,Male,Transportation/Mobility,Unknown,2019,47 Ventures,Local Investor (VC),,Pre-Seed,Undisclosed,UnkNot Associatedwn,Active
Fori Mazdoori,Musstanser Tinauli,Male,On-Demand,Unknown,2019,Undisclosed Angels,Undisclosed,,Angel Round,Undisclosed,Associated,Active
Undisclosed Startup ,Unknown,Undisclosed,Other,Unknown,2019,47 Ventures,Local Investor (VC),,Pre-Seed,Undisclosed,Not Associated,Undetermined
Everplay ,Unknown,Undisclosed,Gaming,Unknown,2019,47 Ventures,Local Investor (VC),,Pre-Seed,"250,000",Not Associated,Active
Cubex Global,"Sheikh Ahsan Tariq, Hood Al Hoqani, Hamza Al Kharusi, Wajiha Khalid Paracha",Mixed-Gender Founding Team,Other,Unknown,2019,Oman Tech Fund,Local Investor (VC),,Pre-Seed,"100,000",None,Active
Queno,"Muhammad Zubair, Farida Kanwal ",Mixed-Gender Founding Team,EdTech/Education,Unknown,2019,Ashraf Kalim (Magnus Sports),Local Investor (Angel),,Pre-Seed,"15,778",Associated,Active
Tajir,"Babar Khan, Ismail Khan",Male,E-commerce,Q1,2020,Y Combinator,International Investor (Other),,Seed,"150,000",Associated,Active
InstaCare,"Bilal Amjad, Ayesha Siddiq, Ahmed Amjad",Mixed-Gender Founding Team,HealthTech/Health,Q1,2020,Khaleef Technologies,Local Investor (Angel),,Seed,"140,000",Associated,Active
Sub Health,"Obaidullah, Sidra Qureshi",Mixed-Gender Founding Team,HealthTech/Health,Q1,2020,Undisclosed ,Local Investor (Angel),,Seed,Undisclosed,Associated,Active
